weather_date,wind_direction,wind_speed,global_radiation,temperature,humity,atmospheric_pressure,precipitation
03/01/13 11:45,282.5,0.1,45.8,2.4,73,850.6,0
03/01/13 12:00,189.9,2.5,52.6,2.2,74,850.4,0
03/01/13 12:15,195.5,3.4,95,2,78,850.5,0
03/01/13 12:30,194.8,1.6,93.1,1.5,83,849.6,0.2
03/01/13 12:45,191.6,0.5,54.9,1.4,85,849.4,0
03/01/13 13:00,276.7,4.9,101,1.3,84,849.2,0
03/01/13 13:15,173.3,0.9,45.7,0.9,88,848.7,0.2
03/01/13 13:30,189.3,0,37.8,0.9,88,849.4,0
03/01/13 13:45,271.2,0,69.6,0.7,88,849.3,0.2
03/01/13 14:00,220.4,0,57.3,0.3,89,848.9,0
03/01/13 14:15,158.3,0,52.6,0.5,90,849.3,0.2
03/01/13 14:30,268.8,0,33.5,0.4,90,849.1,0
03/01/13 14:45,47.9,0,39.7,0.4,90,849.4,0.2
03/01/13 15:00,82.1,0,52.1,0.6,90,849.4,0
03/01/13 15:15,208.5,0,37,0.6,90,849.5,0.2
03/01/13 15:30,1.9,0,23.2,0.5,90,849.9,0.2
03/01/13 15:45,121.8,0,20.2,0.7,90,850,0.2
03/01/13 16:00,248.4,0,12.6,0.7,90,850,0.2
03/01/13 16:15,338.9,0,8.3,0.7,90,850,0
03/01/13 16:30,337.5,0,5.5,0.7,90,849.7,0.2
03/01/13 16:45,29.3,0,1.6,0.8,90,850.1,0
03/01/13 17:00,41.5,0,0,0.8,90,850.7,0.2
03/01/13 17:15,256.6,0,0,0.6,90,850.3,0
03/01/13 17:30,256.4,0,0,0.2,90,850.3,0.2
03/01/13 17:45,227.6,0,0,0,91,850.5,0
03/01/13 18:00,281.9,0,0,0,91,850.7,0
03/01/13 18:15,10.1,0,0,0,91,851.1,0
03/01/13 18:30,327.4,0,0,0,92,850.8,0
03/01/13 18:45,69.5,0,0,-0.1,92,851,0
03/01/13 19:00,16.9,0,0,-0.1,92,851.2,0
03/01/13 19:15,49.3,0,0,0,92,851.5,0.2
03/01/13 19:30,129.9,0,0,0,92,851.9,0
03/01/13 19:45,28.3,0,0,0.1,92,851.8,0
03/01/13 20:00,47.2,0,0,0.2,92,852.1,0
03/01/13 20:15,241.2,0,0,0.4,91,852.1,0
03/01/13 20:30,118,0,0,0.5,91,852.1,0.2
03/01/13 20:45,168.2,0,0,0.5,91,852.6,0
03/01/13 21:00,258.2,0,0,0.6,90,852.5,0.2
03/01/13 21:15,318.6,0.1,0.2,0.8,87,852.6,0
03/01/13 21:30,143,0,0,0.8,86,852.8,0
03/01/13 21:45,264.5,0,0.3,0.7,86,852.9,0.2
03/01/13 22:00,122,0,0.1,0.5,87,853,0
03/01/13 22:15,216.6,0,0,0.1,89,852.9,0
03/01/13 22:30,37.8,0,0,-0.1,89,853,0
03/01/13 22:45,21.5,0,0,-0.2,89,853.3,0
03/01/13 23:00,327.2,0.1,0,-0.2,89,853.1,0
03/01/13 23:15,130,1.4,0,-0.3,89,853.3,0
03/01/13 23:30,78.7,1.3,0,-0.4,89,853.5,0
03/01/13 23:45,33.6,0.8,0.3,-0.5,89,853.5,0
04/01/13 00:00,155.8,2.3,0,-0.8,89,853.3,0
04/01/13 00:15,254.4,0,0,-0.8,89,853.3,0
04/01/13 00:30,260.4,0,0,-0.8,89,853.6,0
04/01/13 00:45,261.8,0,0,-0.8,89,853.1,0
04/01/13 01:00,122.2,1.1,0,-0.7,89,852.9,0
04/01/13 01:15,127.6,2.9,0,-1,90,852.7,0
04/01/13 01:30,119.5,0,0.1,-1,90,852.7,0
04/01/13 01:45,66.8,0.5,0,-1.1,91,852.8,0
04/01/13 02:00,140.6,0,0,-1.1,91,852.9,0
04/01/13 02:15,96,0,0,-1,91,852.7,0
04/01/13 02:30,102.1,0,0,-1,90,852.7,0
04/01/13 02:45,326,0,0,-0.9,90,852.9,0
04/01/13 03:00,285.7,0,0,-0.9,90,853,0
04/01/13 03:15,194.5,0.1,0.5,-0.9,90,853.3,0
04/01/13 03:30,1.7,0,0,-0.9,89,852.9,0
04/01/13 03:45,32.4,0.3,0,-1,87,853,0
04/01/13 04:00,49.5,0,0,-1.1,88,853,0
04/01/13 04:15,131.9,0,0,-1.1,89,853,0
04/01/13 04:30,178.8,0,0,-1.2,90,852.6,0
04/01/13 04:45,88.9,0,0,-1.3,90,852.8,0
04/01/13 05:00,22.9,0,0,-1.4,91,852.8,0
04/01/13 05:15,41.8,0,0,-1.5,91,852.7,0
